talker	age	l	gender	conscious
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	1.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	1.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
ph 	1	1.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	2.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	3.00	male    	social
ph 	1	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	2.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	1.00	male    	social
qf 	2	2.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
qf 	2	3.00	male    	social
qf 	2	3.00	male    	social
qf 	2	1.00	male    	social
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	1.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	1.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	1.00	female  	self
ro 	2	1.00	female  	self
ro 	2	1.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	1.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
ro 	2	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	1.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	3.00	female  	self
rt 	1	1.00	female  	self
so 	2	3.00	female  	zero
so 	2	3.00	female  	zero
so 	2	1.00	female  	zero
so 	2	1.00	female  	zero
so 	2	3.00	female  	zero
so 	2	3.00	female  	zero
so 	2	3.00	female  	zero
so 	2	1.00	female  	zero
so 	2	3.00	female  	zero
so 	2	2.00	female  	zero
so 	2	3.00	female  	zero
so 	2	1.00	female  	zero
so 	2	1.00	female  	zero
so 	2	1.00	female  	zero
so 	2	3.00	female  	zero
so 	2	1.00	female  	zero
so 	2	3.00	female  	zero
so 	2	1.00	female  	zero
so 	2	3.00	female  	zero
so 	2	3.00	female  	zero
so 	2	1.00	female  	zero
so 	2	1.00	female  	zero
so 	2	1.00	female  	zero
so 	2	1.00	female  	zero
so 	2	3.00	female  	zero
so 	2	3.00	female  	zero
so 	2	3.00	female  	zero
so 	2	3.00	female  	zero
so 	2	1.00	female  	zero
so 	2	1.00	female  	zero
so 	2	3.00	female  	zero
so 	2	3.00	female  	zero
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	3.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	3.00	female  	self
ss 	1	3.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	1.00	female  	self
ss 	1	3.00	female  	self
ss 	1	3.00	female  	self
rw 	4	3.00	female  	connect
rw 	4	2.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	2.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	2.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	1.00	female  	connect
rw 	4	2.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	3.00	female  	connect
rw 	4	1.00	female  	connect
cb 	4	1.00	male    	connect
cb 	4	3.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	3.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	3.00	male    	connect
cb 	4	3.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	3.00	male    	connect
cb 	4	3.00	male    	connect
cb 	4	3.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	1.00	male    	connect
cb 	4	3.00	male    	connect
cb 	4	3.00	male    	connect
df 	5	3.00	male    	social
df 	5	3.00	male    	social
df 	5	3.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	3.00	male    	social
df 	5	2.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	1.00	male    	social
df 	5	3.00	male    	social
df 	5	1.00	male    	social
